Hero,hero_id,Role,Matches,WR,D2PT Rating,Facet
Anti-Mage,1,pos 1,4109,49.20905329763933,2665.0,No Facet
Axe,2,pos 1,27,25.925925925925927,0.0,No Facet
Bloodseeker,4,pos 1,1497,52.57181028724115,3070.0,No Facet
Crystal Maiden,5,pos 1,20,40.0,0.0,No Facet
Drow Ranger,6,pos 1,5044,52.557494052339415,3258.0,No Facet
Earthshaker,7,pos 1,26,26.923076923076923,0.0,No Facet
Juggernaut,8,pos 1,5701,50.67532011927732,2903.0,No Facet
Mirana,9,pos 1,275,42.18181818181818,2903.0,No Facet
Morphling,10,pos 1,3626,47.848869277440706,2541.0,No Facet
Shadow Fiend,11,pos 1,4200,49.404761904761905,2725.0,No Facet
Phantom Lancer,12,pos 1,5492,54.879825200291336,3716.0,No Facet
Puck,13,pos 1,18,50.0,0.0,No Facet
Pudge,14,pos 1,384,44.791666666666664,2910.0,No Facet
Razor,15,pos 1,680,46.76470588235294,2871.0,No Facet
Sand King,16,pos 1,14,50.0,0.0,No Facet
Storm Spirit,17,pos 1,112,48.214285714285715,2981.0,No Facet
Sven,18,pos 1,1699,50.5591524426133,2980.0,No Facet
Tiny,19,pos 1,2797,50.05362888809439,2876.0,No Facet
Vengeful Spirit,20,pos 1,411,49.148418491484186,2962.0,No Facet
Windranger,21,pos 1,836,50.0,2939.0,No Facet
Zeus,22,pos 1,92,38.04347826086956,2947.0,No Facet
Kunkka,23,pos 1,63,52.38095238095238,2998.0,No Facet
Lina,25,pos 1,242,45.04132231404959,2925.0,No Facet
Lion,26,pos 1,73,35.61643835616438,2955.0,No Facet
Shadow Shaman,27,pos 1,7,28.571428571428573,0.0,No Facet
Slardar,28,pos 1,60,55.0,3009.0,No Facet
Tidehunter,29,pos 1,84,60.714285714285715,3031.0,No Facet
Witch Doctor,30,pos 1,3,0.0,0.0,No Facet
Lich,31,pos 1,4,25.0,0.0,No Facet
Riki,32,pos 1,850,50.0,2957.0,No Facet
Enigma,33,pos 1,15,40.0,0.0,No Facet
Tinker,34,pos 1,50,36.0,2969.0,No Facet
Sniper,35,pos 1,873,48.911798396334476,2900.0,No Facet
Necrophos,36,pos 1,432,49.53703703703704,2977.0,No Facet
Warlock,37,pos 1,9,22.22222222222222,0.0,No Facet
Beastmaster,38,pos 1,1557,50.80282594733462,2982.0,No Facet
Queen of Pain,39,pos 1,206,42.71844660194175,2927.0,No Facet
Venomancer,40,pos 1,99,38.38383838383838,2959.0,No Facet
Faceless Void,41,pos 1,5768,50.086685159500696,2696.0,No Facet
Wraith King,42,pos 1,2589,50.7531865585168,2934.0,No Facet
Death Prophet,43,pos 1,50,48.0,2989.0,No Facet
Phantom Assassin,44,pos 1,5767,47.70244494537888,2264.0,No Facet
Pugna,45,pos 1,3,0.0,0.0,No Facet
Templar Assassin,46,pos 1,3311,43.672606463304135,1976.0,No Facet
Viper,47,pos 1,163,49.079754601226995,2998.0,No Facet
Luna,48,pos 1,7004,49.67161621930325,2617.0,No Facet
Dragon Knight,49,pos 1,557,44.88330341113106,2852.0,No Facet
Dazzle,50,pos 1,3,33.333333333333336,0.0,No Facet
Clockwerk,51,pos 1,2,50.0,0.0,No Facet
Leshrac,52,pos 1,78,50.0,2993.0,No Facet
Nature's Prophet,53,pos 1,629,47.05882352941177,2902.0,No Facet
