Hero,D2PT Rating,Matches,WR,Most Played Build WR,Role
Ursa,3107,296,58.8,52.8,pos 1
Juggernaut,3045,116,57.8,50.3,pos 1
Luna,3042,209,55.0,50.1,pos 1
Slark,3039,179,54.2,53.1,pos 1
Terrorblade,3036,280,54.6,49.5,pos 1
Juggernaut,3031,192,55.2,51.3,pos 1
Weaver,3031,135,55.6,53.8,pos 1
Ursa,3030,183,54.1,50.6,pos 1
Abaddon,3030,77,58.4,58.5,pos 1
Muerta,3029,64,59.4,42.5,pos 1
Nature's Prophet,3025,283,51.2,56.3,pos 1
Anti-Mage,3024,217,51.6,50.2,pos 1
Gyrocopter,3021,121,54.5,47.3,pos 1
Lifestealer,3018,149,53.7,56.2,pos 1
Lifestealer,3013,124,51.6,49.9,pos 1
Monkey King,3011,131,50.4,46.7,pos 1
Faceless Void,3010,209,50.2,51.8,pos 1
Templar Assassin,3003,207,50.2,51.7,pos 1
Phantom Lancer,3000,170,51.2,49.0,pos 1
Drow Ranger,2985,178,48.9,49.6,pos 1
Medusa,2984,330,49.7,49.8,pos 1
Sven,2980,277,48.0,49.4,pos 1
Queen of Pain,2979,70,45.7,44.5,pos 1
Luna,2967,57,36.8,45.7,pos 1
Templar Assassin,2965,59,37.3,49.5,pos 1
Spectre,2965,136,44.9,55.8,pos 1
Gyrocopter,2964,129,43.4,51.0,pos 1
Shadow Fiend,2962,390,49.2,51.8,pos 1
Morphling,2938,313,43.8,46.3,pos 1
Bloodseeker,0,25,40.0,50.3,pos 1
Drow Ranger,0,42,54.8,47.3,pos 1
Phantom Lancer,0,24,50.0,45.6,pos 1
Pudge,0,20,60.0,60.9,pos 1
Razor,0,44,50.0,52.8,pos 1
Tiny,0,33,42.4,50.4,pos 1
Vengeful Spirit,0,29,55.2,49.8,pos 1
Lina,0,23,52.2,50.2,pos 1
Riki,0,34,38.2,44.5,pos 1
Sniper,0,22,36.4,42.4,pos 1
Wraith King,0,33,42.4,45.7,pos 1
Wraith King,0,20,50.0,54.4,pos 1
Phantom Assassin,0,45,40.0,42.0,pos 1
Phantom Assassin,0,33,30.3,41.5,pos 1
Clinkz,0,29,41.4,50.0,pos 1
Clinkz,0,26,38.5,49.3,pos 1
Doom,0,50,38.0,43.3,pos 1
Alchemist,0,39,41.0,51.7,pos 1
Chaos Knight,0,49,65.3,54.2,pos 1
Troll Warlord,0,21,28.6,51.6,pos 1
Troll Warlord,0,22,50.0,50.0,pos 1
Monkey King,0,49,46.9,36.0,pos 1
Marci,0,52,50.0,53.6,pos 1
Kez,0,40,65.0,48.4,pos 1
Leshrac,3106,299,57.9,56.5,pos 2
Earthshaker,3035,80,60.0,54.9,pos 2
Outworld Destroyer,3035,122,57.4,50.1,pos 2
Batrider,3025,64,59.4,51.3,pos 2
Queen of Pain,3023,377,50.9,57.0,pos 2
Sniper,3019,66,56.1,44.2,pos 2
Marci,3016,65,56.9,56.4,pos 2
Storm Spirit,3015,392,49.2,49.6,pos 2
Tinker,3007,107,52.3,46.5,pos 2
Outworld Destroyer,3007,59,52.5,51.5,pos 2
Void Spirit,3005,156,50.6,50.0,pos 2
Shadow Fiend,3004,317,49.8,49.3,pos 2
