hero_id,Hero,D2PT Rating,Matches,WR,Most Played Build WR,Role
1,Nature's Prophet,3319,1221,56.8,56.3,pos 1
2,Ursa,3202,1164,54.4,52.8,pos 1
3,Shadow Fiend,3127,1995,52.2,51.8,pos 1
4,Abaddon,3114,330,58.2,58.5,pos 1
5,Chaos Knight,3075,243,57.6,54.2,pos 1
6,Faceless Void,3073,651,52.4,51.8,pos 1
7,Lifestealer,3057,612,52.3,56.2,pos 1
8,Weaver,3056,510,52.7,53.8,pos 1
9,Slark,3056,684,51.8,53.1,pos 1
10,Juggernaut,3054,836,52.4,51.3,pos 1
11,Meepo,3054,94,67.0,64.5,pos 1
12,Templar Assassin,3053,1156,51.4,51.7,pos 1
13,Kez,3042,210,56.2,48.4,pos 1
14,Spectre,3040,611,51.7,55.8,pos 1
15,Mirana,3020,68,52.9,55.5,pos 1
16,Shadow Fiend,3018,77,55.8,50.8,pos 1
17,Pudge,3018,68,58.8,60.9,pos 1
18,Pudge,3018,66,57.6,54.8,pos 1
19,Drow Ranger,3011,159,52.2,47.3,pos 1
20,Razor,3009,171,51.5,52.8,pos 1
21,Weaver,3009,53,56.6,57.1,pos 1
22,Troll Warlord,3007,83,51.8,51.6,pos 1
23,Wraith King,3006,85,51.8,54.4,pos 1
24,Dawnbreaker,3006,50,52.0,58.3,pos 1
25,Ursa,3003,864,50.1,50.6,pos 1
26,Troll Warlord,3002,84,50.0,50.0,pos 1
27,Clinkz,3000,112,50.0,50.0,pos 1
28,Terrorblade,2999,61,50.8,43.0,pos 1
29,Gyrocopter,2998,488,50.8,51.0,pos 1
30,Medusa,2998,1253,49.8,49.8,pos 1
31,Vengeful Spirit,2995,153,49.0,49.8,pos 1
32,Lifestealer,2995,441,49.7,49.9,pos 1
33,Tiny,2993,134,48.5,50.4,pos 1
34,Monkey King,2993,213,47.9,36.0,pos 1
35,Marci,2993,208,49.0,53.6,pos 1
36,Juggernaut,2992,525,49.7,50.3,pos 1
37,Dazzle,2991,54,44.4,47.4,pos 1
38,Dragon Knight,2988,75,48.0,47.7,pos 1
39,Bloodseeker,2986,140,47.9,50.3,pos 1
40,Lina,2984,121,48.8,50.2,pos 1
41,Sven,2979,1252,49.5,49.4,pos 1
42,Clinkz,2979,109,46.8,49.3,pos 1
43,Sniper,2977,69,46.4,42.4,pos 1
44,Muerta,2977,262,49.2,42.5,pos 1
45,Luna,2976,724,49.3,50.1,pos 1
46,Phantom Lancer,2971,65,38.5,45.6,pos 1
47,Abaddon,2971,67,40.3,45.5,pos 1
48,Riki,2969,94,42.6,44.5,pos 1
49,Dragon Knight,2967,58,36.2,42.1,pos 1
50,Drow Ranger,2966,829,49.9,49.6,pos 1
51,Wraith King,2961,154,43.5,45.7,pos 1
52,Templar Assassin,2958,257,47.5,49.5,pos 1
53,Phantom Lancer,2956,580,48.4,49.0,pos 1
54,Luna,2949,258,46.1,45.7,pos 1
55,Alchemist,2947,138,42.0,51.7,pos 1
56,Phantom Assassin,2946,147,42.9,42.0,pos 1
57,Phantom Assassin,2932,129,34.9,41.5,pos 1
58,Anti-Mage,2931,929,48.9,50.2,pos 1
59,Gyrocopter,2931,470,46.8,47.3,pos 1
60,Terrorblade,2925,1240,49.4,49.5,pos 1
61,Doom,2909,281,42.7,43.3,pos 1
62,Monkey King,2891,585,46.0,46.7,pos 1
63,Queen of Pain,2875,312,41.7,44.5,pos 1
64,Morphling,2825,1178,46.3,46.3,pos 1
65,Anti-Mage,0,38,39.5,42.5,pos 1
66,Bloodseeker,0,24,37.5,34.3,pos 1
67,Mirana,0,26,50.0,44.4,pos 1
68,Razor,0,38,47.4,46.9,pos 1
69,Sven,0,27,44.4,58.6,pos 1
70,Windranger,0,29,48.3,32.3,pos 1
71,Kunkka,0,32,25.0,42.1,pos 1
72,Necrophos,0,38,57.9,40.4,pos 1
73,Nature's Prophet,0,27,48.1,52.2,pos 1
74,Broodmother,0,26,65.4,65.2,pos 1
75,Broodmother,0,33,45.5,46.9,pos 1
76,Batrider,0,37,62.2,54.4,pos 1
77,Doom,0,38,34.2,38.8,pos 1
78,Lone Druid,0,39,59.0,64.6,pos 1
79,Chaos Knight,0,30,53.3,46.6,pos 1
80,Naga Siren,0,45,44.4,49.4,pos 1
81,Slark,0,49,49.0,43.0,pos 1
82,Medusa,0,28,39.3,38.9,pos 1
83,Medusa,0,46,39.1,55.6,pos 1
84,Magnus,0,32,34.4,20.8,pos 1
85,Ember Spirit,0,26,50.0,51.7,pos 1
86,Hoodwink,0,41,31.7,38.1,pos 1
87,Void Spirit,0,39,35.9,42.7,pos 1
88,Queen of Pain,3215,1958,53.1,57.0,pos 2
89,Leshrac,3171,1193,53.8,56.5,pos 2
90,Nature's Prophet,3132,533,55.9,55.5,pos 2
91,Earthshaker,3120,304,59.2,54.9,pos 2
92,Pudge,3092,201,62.2,57.6,pos 2
93,Puck,3078,1014,52.9,52.1,pos 2
94,Meepo,3062,208,59.1,62.3,pos 2
95,Keeper of the Light,3053,172,57.6,57.0,pos 2
96,Marci,3042,291,54.3,56.4,pos 2
97,Meepo,3039,71,64.8,69.0,pos 2
98,Slardar,3034,147,57.1,60.1,pos 2
99,Primal Beast,3033,151,55.0,55.5,pos 2
100,Timbersaw,3030,154,54.5,52.0,pos 2
101,Invoker,3029,239,53.1,56.3,pos 2
102,Invoker,3029,920,50.9,51.5,pos 2
103,Earth Spirit,3029,100,57.0,55.5,pos 2
104,Dazzle,3028,79,60.8,56.0,pos 2
105,Invoker,3026,217,53.9,53.5,pos 2
106,Dawnbreaker,3026,135,55.6,51.9,pos 2
