,hero_name,position,facet,matches,build_win_rate,talents,abilities,starting,common_late,early,mid,late,core
0,Abaddon,Carry,MEPHITIC SHROUD,31,48,"[1, 1, 0]","['Aphotic Shield', 'Curse of Avernus', 'Aphotic Shield', 'Curse of Avernus', 'Aphotic Shield', 'Borrowed Time', 'Aphotic Shield', 'Curse of Avernus', 'Curse of Avernus', '-10% Curse of Avernus Movement Slow']","['Tango', 'Quelling Blade', 'Iron Branch', 'Circlet', 'Iron Branch', 'Magic Stick', 'Circlet', 'Magic Wand']","['Phase Boots', 'Radiance', 'Manta Style', 'Harpoon', 'Skull Basher', 'Black King Bar']","['Bracer', 'Wraith Band', 'Magic Wand', 'Null Talisman', 'Boots of Speed', 'Orb of Corrosion', 'Phase Boots']","['Radiance', 'Blade Mail', 'Yasha', ""Aghanim's Shard"", 'Manta Style', 'Echo Sabre', 'Harpoon', ""Aghanim's Scepter"", 'Assault Cuirass', 'Abyssal Blade', 'Blink Dagger', 'Skull Basher', 'Black King Bar']","[""Linken's Sphere"", 'Eye of Skadi', ""Aghanim's Shard"", 'Overwhelming Blink', 'Refresher Orb', 'Swift Blink']","['Bracer', 'Magic Wand', 'Boots of Speed', 'Phase Boots', 'Radiance', 'Yasha', 'Manta Style', 'Echo Sabre', 'Harpoon']"
1,Abaddon,Offlane,THE QUICKENING,32,44,"[1, 1, 0]","['Aphotic Shield', 'Curse of Avernus', 'Aphotic Shield', 'Curse of Avernus', 'Aphotic Shield', 'Borrowed Time', 'Aphotic Shield', 'Curse of Avernus', 'Curse of Avernus', '-10% Curse of Avernus Movement Slow']","['Tango', 'Circlet', 'Circlet', 'Quelling Blade', 'Iron Branch', 'Iron Branch', 'Magic Stick', 'Gauntlets of Strength', 'Boots of Speed', 'Enchanted Mango']","['Phase Boots', ""Aghanim's Scepter"", 'Radiance', 'Khanda', 'Monkey King Bar', 'Divine Rapier']","['Wraith Band', 'Bracer', 'Boots of Speed', 'Null Talisman', 'Orb of Corrosion', 'Magic Wand', 'Phase Boots', 'Power Treads', 'Wind Lace']","['Blade Mail', 'Armlet of Mordiggian', 'Echo Sabre', 'Radiance', 'Yasha', 'Holy Locket', 'Orchid Malevolence', 'Phylactery', 'Harpoon', 'Manta Style', ""Aghanim's Scepter"", 'Khanda', 'Bloodthorn', ""Aghanim's Shard"", 'Black King Bar', 'Eye of Skadi', 'Disperser']","['Skull Basher', 'Abyssal Blade', 'Divine Rapier']","['Bracer', 'Boots of Speed', 'Orb of Corrosion', 'Magic Wand', 'Phase Boots', 'Echo Sabre']"
2,Abaddon,Offlane,MEPHITIC SHROUD,39,49,"[1, 1, 0]","['Aphotic Shield', 'Curse of Avernus', 'Aphotic Shield', 'Curse of Avernus', 'Aphotic Shield', 'Borrowed Time', 'Aphotic Shield', '', '', '']","['Iron Branch', 'Tango', 'Magic Wand', 'Circlet', 'Iron Branch', 'Gauntlets of Strength', 'Circlet', 'Quelling Blade', 'Magic Stick', 'Iron Branch']","['Phase Boots', 'Radiance', 'Harpoon', 'Scythe of Vyse', 'Overwhelming Blink']","['Magic Wand', 'Wraith Band', 'Bracer', 'Boots of Speed', 'Null Talisman', 'Arcane Boots', 'Orb of Corrosion', 'Phase Boots']","['Blade Mail', 'Mage Slayer', 'Diffusal Blade', 'Echo Sabre', 'Radiance', 'Yasha', ""Aghanim's Shard"", 'Manta Style', 'Harpoon', ""Aghanim's Scepter"", 'Sange', 'Blink Dagger']","['Disperser', 'Scythe of Vyse', 'Nullifier', 'Holy Locket', 'Eye of Skadi', 'Monkey King Bar', ""Linken's Sphere""]","['Magic Wand', 'Bracer', 'Harpoon', 'Echo Sabre', 'Blade Mail', 'Boots of Speed', 'Orb of Corrosion', 'Phase Boots', 'Diffusal Blade']"
3,Abaddon,Support,THE QUICKENING,27,70,"[0, 0, 1]","['Aphotic Shield', 'Mist Coil', 'Mist Coil', 'Aphotic Shield', 'Mist Coil', 'Borrowed Time', 'Mist Coil', 'Aphotic Shield', 'Aphotic Shield', 'Aphotic Shield provides +15HP Regen']","['Tango', 'Blood Grenade', 'Sentry Ward', 'Magic Stick', 'Iron Branch', 'Enchanted Mango', 'Observer and Sentry Wards', 'Iron Branch', 'Iron Branch', 'Faerie Fire', ""Sage's Mask"", 'Wind Lace', 'Ring of Regen', 'Clarity']","[""Aghanim's Scepter"", 'Holy Locket', 'Arcane Boots', 'Pipe of Insight', 'Lotus Orb', 'Guardian Greaves']","['Boots of Speed', 'Wind Lace', 'Magic Wand', 'Ring of Basilius', 'Arcane Boots', 'Tranquil Boots']","['Pavise', 'Holy Locket', 'Drum of Endurance', 'Solar Crest', 'Mekansm', ""Aghanim's Shard"", 'Boots of Bearing', ""Aghanim's Scepter"", 'Guardian Greaves']","['Pipe of Insight', 'Octarine Core', 'Blink Dagger']","['Boots of Speed', 'Wind Lace', 'Magic Wand', 'Ring of Basilius', 'Arcane Boots', 'Holy Locket', ""Aghanim's Shard""]"
4,Abaddon,Support,THE QUICKENING,27,48,[0],"['Aphotic Shield', 'Mist Coil', 'Mist Coil', 'Aphotic Shield', 'Mist Coil', 'Borrowed Time', 'Mist Coil', 'Aphotic Shield', 'Aphotic Shield', 'Aphotic Shield provides +15HP Regen']","['Tango', 'Blood Grenade', 'Magic Stick', 'Sentry Ward', 'Observer and Sentry Wards', 'Iron Branch', 'Enchanted Mango', 'Circlet', ""Sage's Mask"", 'Faerie Fire', 'Clarity']",[],"['Ring of Basilius', 'Boots of Speed', 'Magic Wand', 'Arcane Boots']","['Mekansm', 'Holy Locket', 'Pavise', 'Solar Crest', 'Glimmer Cape', ""Eul's Scepter of Divinity"", 'Ghost Scepter']",[],"['Ring of Basilius', 'Boots of Speed', 'Magic Wand', 'Arcane Boots']"
5,Abaddon,Support,MEPHITIC SHROUD,70,57,"[0, 0, 1]","['Aphotic Shield', 'Mist Coil', 'Mist Coil', 'Aphotic Shield', 'Mist Coil', 'Borrowed Time', 'Mist Coil', 'Aphotic Shield', 'Aphotic Shield', 'Aphotic Shield provides +15HP Regen']","['Tango', 'Blood Grenade', 'Sentry Ward', 'Magic Stick', 'Enchanted Mango', 'Iron Branch', 'Observer and Sentry Wards', ""Sage's Mask"", 'Clarity', 'Iron Branch', 'Faerie Fire']","['Arcane Boots', 'Holy Locket', ""Aghanim's Scepter"", 'Refresher Orb', 'Kaya']","['Ring of Basilius', 'Magic Wand', 'Boots of Speed', 'Arcane Boots', 'Tranquil Boots']","['Wind Lace', 'Pavise', 'Mekansm', 'Holy Locket', ""Aghanim's Shard"", 'Force Staff', 'Solar Crest', 'Guardian Greaves', ""Aghanim's Scepter"", 'Helm of Iron Will', ""Vladmir's Offering""]",['Kaya'],"['Ring of Basilius', 'Magic Wand', 'Boots of Speed', 'Arcane Boots', 'Wind Lace', 'Mekansm', ""Aghanim's Scepter"", 'Holy Locket']"
6,Abaddon,Hard Support,THE QUICKENING,254,56,"[0, 0, 1, 0]","['Aphotic Shield', 'Mist Coil', 'Mist Coil', 'Aphotic Shield', 'Mist Coil', 'Borrowed Time', 'Mist Coil', 'Aphotic Shield', 'Aphotic Shield', 'Aphotic Shield provides +15HP Regen']","['Tango', 'Sentry Ward', 'Blood Grenade', 'Magic Stick', 'Iron Branch', 'Enchanted Mango', 'Observer and Sentry Wards', 'Iron Branch', ""Sage's Mask"", 'Clarity', 'Faerie Fire']","[""Aghanim's Scepter"", 'Holy Locket', 'Arcane Boots', 'Tranquil Boots', 'Blink Dagger', ""Eul's Scepter of Divinity""]","['Ring of Basilius', 'Boots of Speed', 'Magic Wand', 'Tranquil Boots', 'Arcane Boots', 'Wind Lace']","['Holy Locket', 'Pavise', 'Mekansm', 'Solar Crest', ""Aghanim's Shard"", 'Aether Lens', ""Vladmir's Offering"", ""Eul's Scepter of Divinity"", ""Aghanim's Scepter"", 'Force Staff']","['Blink Dagger', 'Refresher Orb', 'Octarine Core', 'Boots of Travel 2']","['Ring of Basilius', 'Boots of Speed', 'Magic Wand', 'Arcane Boots', 'Wind Lace', 'Tranquil Boots', 'Holy Locket', ""Aghanim's Shard"", ""Aghanim's Scepter"", ""Vladmir's Offering""]"
7,Abaddon,Hard Support,THE QUICKENING,88,43,"[0, 0]","['Aphotic Shield', 'Mist Coil', 'Mist Coil', 'Aphotic Shield', 'Mist Coil', 'Borrowed Time', 'Mist Coil', 'Aphotic Shield', 'Aphotic Shield', 'Aphotic Shield provides +15HP Regen']","['Tango', 'Blood Grenade', 'Sentry Ward', 'Magic Stick', 'Iron Branch', 'Enchanted Mango', 'Observer and Sentry Wards', 'Circlet', 'Faerie Fire', 'Iron Branch', ""Sage's Mask""]",[],"['Ring of Basilius', 'Boots of Speed', 'Magic Wand', 'Arcane Boots']","['Pavise', 'Mekansm', ""Vladmir's Offering"", 'Aether Lens', 'Glimmer Cape', 'Solar Crest', 'Vanguard', 'Crimson Guard', 'Lotus Orb', 'Guardian Greaves']",[],"['Ring of Basilius', 'Boots of Speed', 'Magic Wand', 'Arcane Boots', 'Wind Lace', 'Pavise']"
8,Abaddon,Hard Support,MEPHITIC SHROUD,479,59,"[0, 0, 1]","['Aphotic Shield', 'Mist Coil', 'Mist Coil', 'Aphotic Shield', 'Mist Coil', 'Borrowed Time', 'Mist Coil', 'Aphotic Shield', 'Aphotic Shield', 'Aphotic Shield provides +15HP Regen']","['Tango', 'Blood Grenade', 'Sentry Ward', 'Magic Stick', 'Iron Branch', 'Enchanted Mango', 'Observer and Sentry Wards', 'Iron Branch', 'Iron Branch', 'Circlet', 'Clarity', ""Sage's Mask"", 'Faerie Fire']","['Holy Locket', ""Aghanim's Scepter"", 'Arcane Boots', 'Solar Crest', 'Blink Dagger', 'Tranquil Boots']","['Ring of Basilius', 'Boots of Speed', 'Magic Wand', 'Arcane Boots', 'Tranquil Boots']","['Wind Lace', 'Pavise', 'Holy Locket', 'Drum of Endurance', 'Mekansm', 'Solar Crest', ""Aghanim's Shard"", 'Boots of Bearing', ""Vladmir's Offering"", 'Guardian Greaves', ""Aghanim's Scepter""]","['Blink Dagger', ""Heaven's Halberd"", 'Boots of Travel 2']","['Ring of Basilius', 'Boots of Speed', 'Magic Wand', 'Arcane Boots', ""Aghanim's Scepter"", ""Aghanim's Shard"", 'Wind Lace', 'Holy Locket', 'Pavise']"
9,Abaddon,Hard Support,MEPHITIC SHROUD,123,37,"[0, 0]","['Aphotic Shield', 'Mist Coil', 'Mist Coil', 'Aphotic Shield', 'Mist Coil', 'Borrowed Time', 'Mist Coil', 'Aphotic Shield', 'Aphotic Shield', 'Aphotic Shield provides +15HP Regen']","['Tango', 'Sentry Ward', 'Blood Grenade', 'Magic Stick', 'Enchanted Mango', 'Iron Branch', 'Clarity', 'Observer and Sentry Wards', 'Iron Branch', ""Sage's Mask"", 'Faerie Fire', 'Iron Branch', 'Circlet', 'Healing Salve']",[],"['Ring of Basilius', 'Boots of Speed', 'Magic Wand', 'Arcane Boots']","['Pavise', 'Mekansm', 'Solar Crest', 'Guardian Greaves', 'Glimmer Cape', 'Aether Lens', 'Lotus Orb', 'Aeon Disk']",['Blade Mail'],"['Ring of Basilius', 'Boots of Speed', 'Magic Wand', 'Arcane Boots', 'Wind Lace', 'Pavise', 'Mekansm']"
